<document id="2484369-b">
<head>
	<caption>एनसीएमपी पर १ को कैबिनेट बैठक नई दिल्ली .</caption>
	<language>Hindi </language>
	<domain_name>News Articles </domain_name>
	<word_count>90</word_count>
	<byte_count>12537</byte_count>
	<availability>
		<format>CML/SSF</format>
	<sentence_marker>.</sentence_marker>
	<normalization>No</normalization>
	</availability>
	<encoding_description>
		<original_encoding>ISO 8859</original_encoding>
		<new_encoding>Unicode UTF8</new_encoding>
	</encoding_description>
	<distributor>LTRC, IIIT Hyderabad</distributor>
	<project_description>NSF Hindi/Urdu Dependency Treebanking Project</project_description>
	<creation>
		<raw_corpus creation_date="" institute_name="IIIT Hyderabad"></raw_corpus>
		<annotated_corpus creation_date="06/01/2009" institute_name="IIIT Hyderabad"></annotated_corpus>
	<edition_number>1.0</edition_number>
	</creation>
	<publication>
		<place>New Delhi</place>
		<date>28/5/2004</date>
		<type>Newspaper</type>
		<publisher>
			<name>Amar Ujala</name>
			<url>http://www.amarujala.com</url>
		</publisher>
	</publication>

</head>
<body>
<tb number="2" segment="no" bullet="no">
<foreign language="select" writingsystem="LTR"></foreign>
<text>
<Sentence id='1'>
1	((	NP	<fs name='NP' drel='k7p:VGNN'>
1.1	केंद्र	NNP	<fs af='केंद्र,n,m,sg,3,o,0,0' name='केंद्र' posn='10'>
1.2	में	PSP	<fs af='में,psp,,,,,,' name='में' posn='20'>
	))
2	((	NP	<fs name='NP2' drel='k2:VGNN'>
2.1	सत्ता	NN	<fs af='सत्ता,n,f,sg,3,d,0,0' name='सत्ता' posn='30'>
	))
3	((	VGNN	<fs name='VGNN' drel='r6:NP3'>
3.1	संभालने	VM	<fs af='संभाल,v,any,any,any,o,ने,ne' name='संभालने' posn='40'>
3.2	के	PSP	<fs af='का,psp,m,pl,,d,,' name='के' posn='50'>
	))
4	((	NP	<fs name='NP3' drel='k7t:VGF'>
4.1	पांच	QC	<fs af='पांच,num,any,any,,any,,' name='पांच' posn='60'>
4.2	महीने	NN	<fs af='महीना,n,m,pl,3,d,0,0' name='महीने' posn='70'>
4.3	बाद	NST	<fs af='बाद,nst,m,sg,3,d,,' name='बाद' posn='80'>
	))
5	((	NP	<fs name='NP4' drel='r6:NP5'>
5.1	यूपीए	NNPC	<fs af='यूपीए,n,m,sg,3,d,0,0' name='यूपीए' posn='90'>
5.2	सरकार	NNP	<fs af='सरकार,n,f,sg,3,o,0,0' name='सरकार' posn='100'>
5.3	के	PSP	<fs af='का,psp,m,sg,,o,,' name='के2' posn='110'>
	))
6	((	NP	<fs name='NP5' drel='r6:NP7'>
6.1	राष्ट्रीय	NNPC	<fs af='राष्ट्रीय,adj,any,any,,o,,' name='राष्ट्रीय' posn='280'>
6.2	संयुक्त	NNPC	<fs af='संयुक्त,adj,any,any,,o,,' name='संयुक्त' posn='280'>
6.3	साझा	NNPC	<fs af='साझा,n,m,sg,3,d,0,0' name='साझा' posn='140'>
6.4	क्रार्यक्रम	NNP	<fs af='क्रार्यक्रम,n,m,sg,3,o,0,0' name='क्रार्यक्रम' posn='150'>
	))
7	((	NP	<fs name='NP6' drel='rs:NP5'>
7.1	(	SYM	<fs af='(,punc,,,,,,' name='(' posn='160'>
7.2	एनसीएमप	NNP	<fs af='एनसीएमप,n,m,sg,3,o,0,0' name='एनसीएमप' posn='170'>
7.3	)	SYM	<fs af='),punc,,,,,,' name=')' posn='180'>
	))
8	((	FRAGP	<fs name='FRAGP' drel='fragof:NP5'>
8.1	के	PSP	<fs af='का,psp,m,sg,,o,,' name='के3' posn='190'>
	))
9	((	NP	<fs name='NP7' drel='r6:NP8'>
9.1	क्रियान्वयन	NN	<fs af='क्रियान्वयन,n,m,sg,3,o,0,0' name='क्रियान्वयन' posn='200'>
9.2	की	PSP	<fs af='का,psp,f,sg,,o,,' name='की' posn='210'>
	))
10	((	NP	<fs name='NP8' drel='rt:VGF'>
10.1	समीक्षा	NN	<fs af='समीक्षा,n,f,sg,3,o,0,0' name='समीक्षा' posn='220'>
10.2	के	PSP	<fs af='के,psp,,,,,,' name='के4' posn='230'>
10.3	लिए	PSP	<fs af='लिए,psp,,,,,,' name='लिए' posn='240'>
	))
11	((	NP	<fs name='NP9' drel='k7t:VGF'>
11.1	एक	NNPC	<fs af='एक,n,any,sg,3,d,0,0' name='एक' posn='250'>
11.2	नवंबर	NNP	<fs af='नवंबर,n,m,sg,3,o,0,0' name='नवंबर' posn='260'>
11.3	को	PSP	<fs af='को,psp,,,,,,' name='को' posn='270'>
	))
12	((	NP	<fs name='NP10' drel='r6-k1:NP11'>
12.1	केंद्रीय	JJ	<fs af='केंद्रीय,adj,any,any,,o,,' name='केंद्रीय' posn='280'>
12.2	मंत्रिमंडल	NN	<fs af='मंत्रिमंडल,n,m,sg,3,o,0,0' name='मंत्रिमंडल' posn='290'>
12.3	की	PSP	<fs af='का,psp,f,sg,,d,,' name='की2' posn='300'>
	))
13	((	NP	<fs name='NP11' drel='pof:VGF'>
13.1	बैठक	NN	<fs af='बैठक,n,f,sg,3,d,0,0' name='बैठक' posn='310'>
	))
14	((	VGF	<fs name='VGF' stype='declarative' voicetype='active'>
14.1	होगी	VM	<fs af='हो,v,f,sg,3,,गा,gA' name='होगी' posn='320'>
	))
15	((	BLK	<fs name='BLK' drel='rsym:VGF'>
15.1	.	SYM	<fs af='.,punc,,,,,,' name='.' posn='330'>
	))
</Sentence>

<Sentence id='2'>
1	((	NP	<fs name='NP' drel='k1:VGF'>
1.1	प्रधानमंत्री	NNP	<fs af='प्रधानमंत्री,n,m,sg,3,d,0,0' name='प्रधानमंत्री' posn='10'>
1.2	मनमोहन	NNPC	<fs af='मनमोहन,n,m,sg,3,d,0,0' name='मनमोहन' posn='20'>
1.3	सिंह	NNP	<fs af='सिंह,n,any,sg,3,d,0,0' name='सिंह' posn='30'>
	))
2	((	NP	<fs name='NP2' drel='k7t:VGF'>
2.1	पहली	QO	<fs af='पहला,num,f,sg,,d,,' name='पहली' posn='40'>
2.2	बार	NN	<fs af='बार,n,f,sg,3,d,0,0' name='बार' posn='50'>
	))
3	((	NP	<fs name='NP3' drel='r6:NP4'>
